C1H2O3N1,C3H4O8N3,C4H5O11N4,C4H5O7N2,C4H5O9N3,C4H6O11N4,C4H6O13N5,C4H6O5N1,C4H6O7N2,C4H6O9N3,C4H7O13N5,C8H11O20N7,C8H11O22N8,C8H12O16N5,C8H12O18N6,C8H12O20N7,C8H12O22N8,H1,H1O2N1,O2N1
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,97,0,0,1,2,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,97,0,0,1,2,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,97,0,0,1,2,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,97,0,0,1,2,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,96,0,0,1,3,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,95,0,0,1,4,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,96,0,0,2,2,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,93,0,0,1,4,0,0,0,0,0,0,1,0,0,6
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,92,0,0,2,4,0,0,0,0,0,0,1,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,93,0,0,2,3,0,0,0,0,0,0,1,0,0,7
0,0,1,0,0,92,0,0,2,5,0,0,0,0,0,0,0,1,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,90,0,0,2,6,0,0,0,0,0,0,1,0,0,10
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,93,0,0,2,3,0,0,0,0,0,0,1,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,95,0,0,2,3,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,94,0,0,2,4,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,91,0,0,2,7,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,2,6,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,91,0,0,2,7,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,92,0,0,2,6,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,93,0,0,2,5,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,2,6,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,92,0,0,2,6,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,89,0,0,2,7,0,0,0,0,0,0,1,0,0,11
0,0,0,0,0,92,0,0,2,6,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,90,0,0,3,5,0,0,0,0,0,0,1,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,92,0,0,3,5,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,89,1,0,3,7,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,90,1,0,3,6,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,90,0,0,3,7,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,89,0,0,3,6,0,0,0,0,0,0,1,0,0,12
0,0,0,0,0,90,0,0,3,7,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,90,0,0,3,7,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,91,0,0,3,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,90,0,0,3,7,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,89,0,0,3,8,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,89,0,0,3,8,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,88,0,0,3,9,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,86,0,0,3,11,0,0,0,0,0,0,0,0,0,17
0,0,0,0,0,88,0,0,3,9,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,89,0,0,3,8,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,89,0,0,3,8,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,88,0,0,3,9,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,88,0,0,3,9,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,89,0,0,3,8,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,88,0,0,3,9,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,89,0,0,3,8,0,0,0,0,0,0,0,0,0,14
0,0,0,0,1,85,0,0,3,9,0,0,0,0,0,1,0,0,1,16
0,0,0,0,1,85,0,0,3,9,0,0,0,0,0,1,0,0,1,16
0,0,0,0,1,85,0,0,3,9,0,0,0,0,0,0,1,0,1,15
0,0,0,0,1,86,0,0,3,10,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,87,0,0,3,9,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,83,0,0,3,11,0,0,0,0,0,0,1,0,1,17
0,0,0,0,1,86,0,0,3,10,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,87,0,0,3,9,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,86,1,0,3,9,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,86,1,0,3,9,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,86,0,0,3,10,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,86,1,0,3,9,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,86,1,0,3,9,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,86,1,0,3,9,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,86,1,0,3,9,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,83,1,0,3,12,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,83,1,0,3,12,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,83,1,0,3,12,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,0,0,3,11,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,82,0,0,3,14,0,0,0,0,0,0,0,0,1,20
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,4,11,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,4,11,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,4,11,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,82,0,0,3,14,0,0,0,0,0,0,0,0,1,20
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,82,0,0,3,14,0,0,0,0,0,0,0,0,1,20
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,81,0,0,3,13,0,0,0,0,0,0,1,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,1,0,1,82,0,0,3,13,0,0,0,0,0,0,0,0,2,18
0,0,0,0,2,82,0,0,3,13,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,80,0,0,2,14,0,0,0,0,1,0,0,0,2,19
0,0,1,0,1,80,0,0,3,15,0,0,0,0,0,0,0,0,2,20
0,0,1,0,1,81,0,0,3,14,0,0,0,0,0,0,0,0,2,19
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,79,0,0,3,16,0,0,0,0,0,0,0,0,2,21
0,0,1,0,1,80,0,0,3,15,0,0,0,0,0,0,0,0,2,20
